,place_name,place_id,lat,lng,type
89,Ferretería Laes,ChIJu64ZbAYpQg0R1Z5GBsrO3Q4,40.4623873,-3.6986791,hardware_store
90,Ferreteria Adeva Alburquerque,ChIJcVrz3gUpQg0Rxz2iiQz7JRg,40.462476,-3.697591099999999,hardware_store
91,Ferretería Margallo,ChIJbQUyMAQpQg0RpyXwYiaG3Yg,40.4606654,-3.696172499999999,hardware_store
92,TODOCERRADURAS,ChIJ6cXF-38pQg0RidJCbSssmMs,40.4571702,-3.6993703,hardware_store
93,Electricidad y copia de llaves Castilla,ChIJYXEx2fMpQg0RCHDDzzzwlzE,40.45641059999999,-3.7053183,hardware_store
94,Ferretería Saez,ChIJF-i696opQg0RSOggMgU1-U4,40.4559258,-3.7045815,hardware_store
95,Restaurante La Dehesa I,ChIJRydMvq0pQg0RvEO29O1UGyY,40.4568978,-3.7115297,store
96,"K-tuin, Tienda Apple",ChIJP9HDaAMpQg0R1ErWdlCycrQ,40.4581519,-3.6942442,store
97,Librería Alcaná,ChIJe6x0CwgpQg0RytMwOhwTZzk,40.463103,-3.70261,store
98,Calzados El Ferrocarril,ChIJcZqyjAUpQg0RN3gR0CUUSoQ,40.4635366,-3.696608699999999,store
99,Bicimanía,ChIJ6WwFPf8oQg0R-M_hPyAJsho,40.4496605,-3.7011173,store
100,El Quinto Vino,ChIJtXn2SPkoQg0RhldfLz_RYWk,40.448057,-3.699002,store
101,Sitomaco,ChIJP1U9bQYpQg0RuqpIcaaBZbQ,40.4625996,-3.6985795,store
102,La Selva,ChIJOfIWABspQg0RFlOxqNyvMZE,40.4611578,-3.691244299999999,store
103,Lidl,ChIJV0OEkgUpQg0RAzxXmDMQdAY,40.4632405,-3.6964343,store
104,Menkes,ChIJJxE42f8oQg0Rjoz9h2CVMpA,40.45347410000001,-3.701165899999999,store
105,Rodilla,ChIJWyAnHBEpQg0R4fRzobQH7iw,40.4676187,-3.6895198,store
106,Disfracestuyyo.com,ChIJb-33dwYpQg0RzElmClSJzqU,40.462026,-3.697905999999999,store
107,Realcafé Bernabéu,ChIJn9MFN-IoQg0R2cK2wvRxbrs,40.4521565,-3.6884927,store
108,La Marea,ChIJG6-vjQYpQg0R8a-mJI3xiOE,40.4612244,-3.698896599999999,store
109,Tokyo-ya Japanese Food Store Madrid,ChIJJ5G0GwIpQg0Rsn40iZY6Aew,40.4546255,-3.6974034,store
110,Madrid Norte Wagen,ChIJ0RwcVhspQg0RcEZBOzsxwxk,40.45901159999999,-3.692528499999999,store
111,Tableros Sanz,ChIJr83kBQ8pQg0RAxUdPQbpkXA,40.4659601,-3.6955825,store
112,BILLARNET CAFÉ,ChIJhaOfvxopQg0R3vjOY3li-EQ,40.4627974,-3.6918129,store
113,Fantasias,ChIJs8oX-fwoQg0RcK7cC1-9n0E,40.450779,-3.694482,store
114,HNOS. PEREZ BRAVO MURILLO,ChIJ1x9nelUoQg0RdrnoprVxqB4,40.4514566,-3.703504,store
