,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
21,Dideco Sor Ángela Tienda de Juguetes y libros,ChIJIYhD0-IoQg0Rfa5Rogh9hQE,40.4596659,-3.6934098,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 23, 16, 0, 0, 0, 20, 43, 46, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 26, 13, 0, 0, 0, 33, 50, 33, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 33, 26, 0, 0, 0, 26, 60, 23, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 100, 80, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,Casa del Libro,ChIJe1u8hvsoQg0RQkHu2IghQkc,40.4484766,-3.695624,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 11, 14, 16, 16, 13, 10, 10, 18, 28, 26, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 13, 13, 9, 6, 5, 13, 23, 23, 11, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 19, 20, 13, 8, 11, 20, 26, 23, 13, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 26, 33, 36, 32, 25, 19, 25, 55, 64, 29, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 28, 33, 34, 30, 24, 18, 29, 76, 100, 51, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 39, 54, 55, 40, 22, 14, 30, 71, 82, 44, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 7, 5, 0, 12, 18, 19, 15, 8, 0, 0, 0]"
23,Librería Lé,ChIJhWiKsR0pQg0R1SZgERKqvpc,40.456342,-3.6896484,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 35, 33, 15, 4, 2, 8, 24, 37, 31, 15, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 42, 40, 22, 11, 17, 20, 8, 24, 51, 22, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 31, 44, 44, 35, 26, 13, 8, 31, 35, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 20, 20, 15, 8, 4, 8, 26, 31, 13, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 64, 33, 15, 15, 15, 13, 20, 64, 100, 57, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 46, 60, 51, 28, 11, 8, 26, 64, 77, 46, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,Libro Motor,ChIJk4od6vsoQg0RbRzR8Cd-zP0,40.4474719,-3.6968754,book_store,,,,,,,
25,Papelería - Librería Tetuán,ChIJeZVw7ggpQg0RxBMkWzzKf9E,40.4638824,-3.6963283,book_store,,,,,,,
26,Tik Books Libros Usados BM,ChIJndnwvgYpQg0RoH0DpeMH0I0,40.45989069999999,-3.6988877,book_store,,,,,,,
27,Pulpture Ediciones / La Boutique de Zothique / Grupo Editorial Plural Mayestático,ChIJ6YJ2EzsvQg0Rp6dEH2W_QDY,40.455443,-3.6976825,book_store,,,,,,,
28,Viajes Scibasku,ChIJndzn9hkpQg0R73xa8FnE7eU,40.4634921,-3.6874389,book_store,,,,,,,
29,Agencia del libro. Publicar un libro.,ChIJM0QLhxkpQg0RnVFgf3zGdaI,40.45468899999999,-3.6888572,book_store,,,,,,,
30,TodoPapel,ChIJa6CaRVQoQg0RW4A6M8li2lc,40.450105,-3.705982999999999,book_store,,,,,,,
